Category,QuestionNumber,ExamRecord,Question,A,B,C,D,E,Answer,Explanation
介入性治療,5,"102年第19題, 106年第1次第2題, 108年第1次第24題, 108年第2次第24題, 112年第9題","About diagnostic nerve blocks, which one of following statements is wrong?",May help in locating the origin of pain.,Pain originating from malfunctioning CNS pain modulation may also be relieved by a peripheral nerve block.,Repeated diagnostic blocks are mandatory before any attempted chemical or physical denervation.,Are reliable as prognostic aids for neurolytic procedures.,Pain relief from a saline block does not indicate a psychogenic pain or malingered pain.,D,診斷性神經阻斷對神經破壞性手術的預後預測並不可靠，因為局部麻醉劑的暫時性阻斷與永久性神經破壞的效果不同。局部麻醉劑的作用是短暫且可逆的，而神經破壞性手術的效果是永久性的，兩者在疼痛緩解的機制上有本質的差異。
介入性治療,6,"102年第24題, 103年第16題, 106年第1次第14題, 107年第1次第8題, 107年第3次第8題, 108年第1次第41題, 108年第2次第41題, 109年第1次第48題, 109年第2次第48題, 110年第11題, 112年第34題, 114年第44題","About chemical neurolytic nerve blocks, which one of following statements is wrong?",Phenol or ethanol is usually used for chemical denervation.,The duration of these blocks is often disappointingly brief.,They may induce deafferentation-neuropathic type pain.,They are often indicated for patients with chronic pain and a normal life expectancy.,They can be used in patients with advanced cancer disease.,D,化學神經溶解術因為可能造成神經病變性疼痛等併發症，通常不建議用於預期壽命正常的慢性疼痛患者，主要適用於癌症末期患者。這是因為在癌症末期患者中，疼痛控制的需求高於潛在的神經病變風險。
介入性治療,7,102年第27題,"A 25-year-old, obese man complains of a burning pain in the anterolateral thigh. Deep tendon reflexes and findings in a motor examination are normal. There is a slight sensory deficit in the lateral thigh that corresponds to the painful area. What is the most appropriate diagnostic block to perform on this patient?",Epidural local anesthetic and sterioid,Trigger point injection,Lateral femoral cutaneous nerve block,Illioinguinal nerve block,Lumbar sympathetic block,C,症狀描述符合股外側皮神經卡壓症候群（meralgia paresthetica），表現為大腿前外側燒灼痛和感覺異常，反射正常。這種情況通常由於神經在髂骨前上棘附近受到壓迫或卡壓所致，進行股外側皮神經阻斷可以有效緩解症狀。
介入性治療,8,102年第31題,Which of the following examination is required to be certain of the degree of arachnoiditis?,CT,MRI,Myelography,NCV+EMG,x-ray,C,脊髓造影術（Myelography）是確定蜘蛛膜炎程度的黃金標準，因為它能夠詳細顯示腦脊髓液的流動阻塞以及神經根的粘連情況。這種檢查利用對比劑在脊髓腔內的流動來提供高解析度的影像，幫助醫生準確評估蜘蛛膜炎的嚴重程度和範圍。
介入性治療,9,102年第34題,Neuropathic pain may happen most frequently in which one of following therapeutic blocks?,glycerol or ethanol neurolytic block,cryoneurolysis,radiofrequency denervation,pulsed radiofrequency,none of above,A,甘油或酒精神經溶解術會造成不可逆的神經損傷，這種損傷是由於化學物質直接破壞神經纖維，從而最容易引發神經病變性疼痛。這種疼痛是化學神經溶解的主要風險，因為神經組織的再生能力有限，可能導致持續的疼痛症狀。
介入性治療,10,102年第39題,此超音波顯像圖示中，針尖位置於何處是最合適於星狀神經節注射？,1,2,3,4,5,C,根據超音波引導星狀神經節注射的解剖定位，位置3應該是最適當的注射點，通常位於C6橫突前的頸長肌上方。這個位置能夠有效地接觸星狀神經節，從而達到最佳的治療效果，減少對周圍重要結構的損傷風險。
介入性治療,11,102年第43題,以下針對超音波影像引導之疼痛治療中，各式使用的探頭(probes)敘述，何者為非？,弧形探頭的頻率最低，所引導針尖到達之標的治療組織最深。,微型探頭的頻率最高，所引導針尖到達之標的治療組織最淺。,線型探頭的頻率約在 5~12MHz 左右。,腰椎小面關節注射(facet joint injection)因範圍很小，故以使用微型探頭最為適當。,通常組織穿透力高的探頭，解析度會較為遜色。,D,腰椎小面關節位置較深，需要低頻高穿透力的探頭，而非高頻淺穿透的微型探頭。微型探頭適用於淺表結構，如皮膚下的淺層組織，而非深層的關節結構。
介入性治療,12,"102年第45題, 103年第10題, 106年第1次第28題, 107年第1次第16題, 107年第3次第16題, 108年第1次第47題, 108年第2次第47題, 109年第1次第37題, 109年第2次第37題, 110年第40題, 111年第5題, 112年第40題, 113年第5題, 114年第50題",Which of the following is the acceptable statement about neurodestructive RF lesions?,These temperatures are resulted from friction heat.,The size of RF lesion with 22 gauge RF needle is around with a radius of 5 mm,The heat is generated on the tip of RF needle. The RF needle then heat up the tissues.,The RF permanent neurodestructive lesion is formed when neural temperatures exceed 42℃.,All of the above,A,射頻產生的熱量確實來自於組織內離子的摩擦熱（friction heat），這是射頻能量轉換為熱能的基本原理。這種熱能在組織內部產生，能夠有效地破壞神經纖維，達到治療目的。
介入性治療,13,"103年第12題, 106年第1次第9題, 108年第1次第29題, 108年第2次第29題",Which of the following statements concerning the difference between phenol and alcohol when used in neurolytic blocks is/are FALSE?,Phenol takes 15 minutes for neurolysis whereas alcohol's neurolytic effect is immediate.,Phenol usually does not produce pain on injection.,"Intrathecal alcohol is hypobaric, whereas phenol is hyperbaric.",Phenol is approximately twice as efficacious as alcohol.,,D,Phenol和alcohol在神經溶解術中的療效相當，並沒有phenol比alcohol效果好兩倍的證據。兩者都是有效的神經溶解劑，選擇主要基於病灶位置、患者體位需求和醫師經驗。臨床研究顯示兩者的成功率和持續時間相似，療效的差異主要取決於技術因素而非藥物本身的溶解能力。因此，認為phenol療效是alcohol兩倍的說法是錯誤的。
介入性治療,14,104年第21題,Which of the following is the acceptable statement about the local anaesthetic blocks and epidurals?,"In the management of chronic pain, diagnostic nerve blocks may help in locating the origin of pain, but are unreliable as prognostic aids for neurolytic or neurodestructive procedures.",Pain originating from malfunctioning CNS pain modulation may also be relieved by a peripheral nerve block.,Epidural local anaesthetic blocks cannot reliably predict the effect of spinal cord stimulation.,"""Pulsed radiofrequency"" treatment: lower temperature applied; less effective; fewer adverse effect compared with conventional radiofrequency denervation.",All of the above,E,所有敘述都是正確的：診斷性神經阻斷在定位疼痛來源上有其價值，但由於其短暫性和可逆性，對於預測神經溶解或神經破壞性程序的效果並不可靠。周邊神經阻斷可以緩解由中樞神經系統疼痛調節異常引起的疼痛，這是因為它們能夠中斷異常的疼痛信號傳遞。硬脊膜外麻醉阻斷與脊髓刺激的機制不同，因此無法用來預測後者的效果。脈衝射頻治療因其較低的溫度設定，副作用較少，但相對於傳統射頻消融，其效果也較為有限。
介入性治療,15,104年第42題,Which of the following is the unacceptable statement about peripheral nerve block?,Occipital nerve block is indicated for occipital and posterior auricular neuralgia.,Lateral cutaneous nerve of the thigh: local anaesthetic block of this nerve is indicated for diagnosis and treatment of meralgia paresthetica.,"Sacral plexus block, transforaminal through the sacral foramina, may be indicated for temporary relief of sciatic pain.","Suprascapular nerve block is indicated for postsurgical pain relief, for assessment of shoulder pain and to facilitate physical therapy of the shoulder joint in painful shoulder stiffness and pain secondary to CRPS.","For classical trigeminal neuralgia, blocks of the Gasserian ganglion with glycerol or radiofrequency are now the commonly used alternatives when microvascular decompression is not available or cannot be used.",A,枕神經阻斷適用於枕神經痛，但不適用於耳後神經痛（posterior auricular neuralgia），因為耳後區域的神經支配主要來自耳大神經，而非枕神經。
介入性治療,16,"104年第43題, 105年第45題","Indications for lumbar epidural steroid injections include all of the following, EXCEPT?",Radicular pain with corresponding sensory change,Radiculopathy due to herniated disc with failed conservative treatment,Acute herpes zoster in the lumbar dermatomes,Post laminectomy failed back syndrome without radiculopathy,,D,腰椎硬膜外類固醇注射主要用於治療神經根相關的疼痛，對於沒有神經根病變的腰椎術後疼痛症候群效果有限。術後背痛若無神經根壓迫症狀，其疼痛機制通常涉及軟組織、關節或其他非神經根因素，此時硬膜外類固醇注射的抗炎作用無法針對主要病因。這類患者更適合其他治療方式，如關節注射、射頻消融或物理治療等。
介入性治療,17,105年第3題,"About the intrathecal drug delivery system, which of the following statements is NOT correct?",It places medication directly into the cerebrospinal fluid that surrounds the spinal cord.,Morphine delivered directly to the intrathecal space is particularly effective because it does no have to circulate systemically to reach the CSF and the dorsal horn of the spinal cord.,"As a result, much smaller doses are needed (e.g., approximately 1/30 of an oral morphine dose), and the frequency of side effects is reduced.","Advantages of intrathecal therapy in pain includes effective pain relief, reduced side effects for patients, reduced consumption of systemic medication, improved ability to perform ADLs, and enhanced quality of life.",,C,鞘內嗎啡的劑量比例關係被錯誤表述。實際上，鞘內嗎啡的劑量約為口服劑量的1/300，而非1/30。這種巨大的劑量差異反映了鞘內給藥繞過血腦屏障直接作用於脊髓受體的優勢。正確的劑量比例對於臨床安全用藥至關重要，錯誤的比例可能導致劑量過高而引起嚴重副作用。這種藥物動力學的理解是鞘內治療成功的關鍵。
介入性治療,18,105年第6題,Which is NOT true regarding ultrasound-guided stellate ganglion block?,"commonly used as the diagnosis and management of sympathetically mediated pain and vascular insufficiency of head, neck and upper extremity",stellate ganglion could be located over the longus colli muscle at C6 level,left-side esophagus could be found more frequently than right-side esophagus in the sonogram,none of the above,,B,星狀神經節通常位於C7橫突前方，而非C6層級的頸長肌上方。在超音波導引下進行星狀神經節阻斷時，標準的解剖定位是在C6層級找到頸長肌，然後在其前方注射藥物，但星狀神經節本身實際位置在C7。這個解剖位置的錯誤描述使選項B不正確。
介入性治療,19,"105年第14題, 106年第1次第45題, 111年第48題",利用手術或介入性阻斷技術減少癌症疼痛的方式，下列敘述何者效果最差：,以 internal surgical fixation 減少脊椎病理性骨折的疼痛,以 epidural steroid 減輕腫瘤浸潤引起的 lumbosacral radiculopathy,以 iv PCA 減輕 radiation-induced brachial plexopathy,以 neurolytic celiac plexus blockade 控制胰臟癌引起的腹痛,以 intrathecal morphine pump 治療 peritoneal carcinomatosis-induced pain,C,靜脈自控式止痛（iv PCA）對radiation-induced brachial plexopathy效果最差。放射線引起的臂叢神經病變是慢性進行性的神經纖維化和軸突變性，造成頑固的神經性疼痛。這種疼痛對傳統鴉片類藥物反應不佳，單純使用iv PCA無法針對神經病變的病理機轉。更適合的治療包括抗癲癇藥物、三環抗憂鬱劑或神經阻斷術等針對神經性疼痛的特殊治療方式。
介入性治療,20,105年第17題,一位末期肝癌疼痛的病患，因口服嗎啡已經造成嚴重的嘔吐，考慮改由脊髓腔內(intrathecal)持續給藥，因其每天劑量達 600 mg，經換算後脊髓給藥劑量應為每天約：,1 mg,2 mg,6 mg,10 mg,20 mg,B,口服嗎啡與鞘內嗎啡的換算比例約為300:1，這是因為鞘內給藥直接作用於脊髓，避免了全身代謝的損失，因此藥效更強。600mg ÷ 300 = 2mg/day，這樣的劑量能有效控制疼痛且減少全身性副作用如嘔吐。
介入性治療,21,105年第20題,"A patient is positioned prone in the fluoroscopic table, the T1-T4 spinous processes are identified on the ipsilateral side, and a skin weal is raised 4-5 cm lateral to the spinous process. A spinal needle is directed to the lamina and ""walked"" laterally until there is loss of resistance. These procedures are consistent with which type of block?",Stellate ganglion,Thoracic sympathetic,Interpleural,Thoracic epidural,,B,描述的操作程序完全符合胸交感神經阻斷術的標準技術。患者俯臥位，在T1-T4棘突外側4-5公分處進針，針尖導向椎板後向外側移動直到失去阻力感，這正是胸交感神經鏈的解剖位置。此技術用於治療上肢或胸部的交感神經性疼痛症候群。
介入性治療,22,107年第3次第45題,關於三叉神經痛的介入性治療，目前證據支持下列何種治療可達到較完全和最長期的疼痛緩解?,Microvascular decompression (MVD),Radiofrequency ablation (Gasserian ganglion),Percutaneous balloon microcompression,Stereotactic radiosurgery,Glycerol rhizotomy,A,微血管減壓術是三叉神經痛的根治性手術，能提供最完全和最長期的疼痛緩解，復發率最低。此手術通過減少壓迫三叉神經的血管來緩解疼痛，效果持久且副作用少。
介入性治療,23,"109年第1次第43題, 109年第2次第43題",有關脊椎神經刺激術(SCS)的止痛敘述，下列何者為非?,SCS 是植入電極的疼痛治療方式，是 gate control 理論的應用。,缺血性疼痛、複雜區域疼痛與糖尿病神經病變以 SCS 治療，成功機會較高。,會陰部疼痛與脊椎部份傷害的疼痛，無效機會高。,病人存活時間要大於 6 個月。,有裝心臟節器的病人也適合。,E,心臟節律器是脊髓刺激器植入的相對禁忌症，因為電磁干擾可能影響心臟節律器功能，導致潛在的危險情況。
介入性治療,24,110年第15題,關於 cordotomy 的敘述，下列何者錯誤？,Indication 是 bilateral 的 pelvic、flank、chest wall pain,因為 opioids treatment 的進步以及 intrathecal pain pump 的發展，cordotomy 的施行比以前減少,手術方式通常是在 C1/2 level 經皮施行,手術也可在 mid-to-upper thoracic level（T4）施行,,B,正確敘述。現代疼痛醫學的發展確實使cordotomy的施行減少。鴉片類藥物治療技術的改善、脊髓內藥物輸注系統（intrathecal pain pump）的發展、以及其他侵入性較小的疼痛治療方法（如神經阻斷、射頻治療等）的進步，提供了更安全有效的替代方案，因此這種破壞性手術的需求明顯下降。
介入性治療,25,"111年第30題, 114年第22題",關於周邊神經手術的敘述何者有誤？,周邊神經切除術基本考量就是去除製造疼痛的神經與切除不正常的神經傷害(如 neuroma),部分內分泌與風濕疾病是與增加周邊神經纏套(entrapment)風險相關，例如糖尿病,周邊神經纏套(entrapment)除了來自組織壓迫外，可能與神經缺血也有關係,診斷 sympathetically maintained pain 有一定診斷標準，例如皮膚顏色改變等等,sympathetically maintained pain 可能與 A、C 神經傷害感受器有關,D,交感神經維持性疼痛沒有一致的診斷標準，皮膚顏色改變等體徵雖然常見但不是必需或特異的診斷標準。診斷通常依賴於臨床評估和排除其他病因。
介入性治療,26,111年第50題,會影響脊隨內幫浦(intrathecal pump)給藥的因素，下列敘述何者有誤?,體溫上升會降低給藥流速,高海拔會增加給藥流速,藥物黏稠度(viscosity)會影響流速,血壓高低也會影響藥物釋放,幫浦的 dead space 與容量,A,體溫上升會增加而非降低給藥流速，因為溫度升高會導致幫浦內的氣體膨脹，這種膨脹會增加幫浦內部壓力，從而推動更多藥物釋出。這種現象在物理學中稱為氣體的熱膨脹效應，對於精密的給藥系統來說，溫度變化是需要考慮的重要因素。
介入性治療,27,113年第28題,有關硬脊膜外類固醇注射(epidural steroid injection)的敘述，下列何者為非？,經椎間孔硬脊膜外類固醇注射(transforaminal epidural steroid injection)比經由椎板間(interlaminar)的注射，更能將藥物送至目標區域，且效果較佳,顆粒性類固醇(particulate steroid)比非顆粒性類固醇(non-particulate steroid)更能持續達到止痛效果，但相對風險較高,類固醇主要作用機轉為抑制發炎反應，穩定細胞膜，及抑制C-fiber的傳導,類固醇注射最常見的併發症為暫時性的下肢麻木無力,類固醇注射最嚴重的併發症為硬脊膜上血腫(epidural hematoma)或膿瘍(abscess),D,此選項敘述錯誤，為本題正確答案。硬脊膜外類固醇注射最常見的併發症並非暫時性的下肢麻木無力，而是疼痛加劇(pain flare)，發生率約2-6%。疼痛加劇通常在注射後24-72小時內發生，可能與類固醇的結晶性刺激或局部發炎反應有關。其他常見併發症還包括注射部位疼痛、頭痛(特別是意外硬脊膜穿刺後)、短暫的血糖升高、失眠等。暫時性下肢麻木無力雖然可能發生，但通常與局部麻醉劑的使用有關，或是技術相關的併發症(如意外的蛛網膜下腔注射)，並非最常見的併發症。正確認識併發症的發生率和處理方式，對於疼痛專科醫師的臨床實務非常重要。
介入性治療,28,113年第42題,"針對上腹部腫瘤(例如胰臟癌)合併嚴重癌症疼痛常用的介入性處置, 下列敘述何者正確?",針對 Celiac ganglion/Splanchnic plexus 進行 neurolytic block,Neurolytic block 使用的藥物是長效的局部麻醉藥,針對 Ganglion impar 進行 neurolytic block,針對 superior hypogastric plexus 進行 neurolytic block,"神經阻斷的處置因位於脊椎附近, 因此常會造成病患下肢癱瘓的併發症",A,胰臟癌等上腹部腫瘤疼痛主要由腹腔神經叢支配，因此針對腹腔神經節或內臟神經叢進行溶解術是標準的治療方法。這種介入性處置能有效減少疼痛，改善患者的生活品質，因為它直接中斷了疼痛訊號的傳遞。
介入性治療,29,113年第47題,關於 spinal cord stimulation（SCS）造成的生理機轉與功能影響，下列何者不正確？,可導致 dorsal horn(DH)釋放 γ-aminobutyric acid (GABA)。,SCS 亦可使 cholinergic neurons 活化 M4 and M2 muscarinic type receptors (Ach).,在高位胸椎可能藉由穩定 intrinsic cardiac nervous system，進而減少 ischemia 和 pain。,在中低位胸椎可減少 colonic spasm 進而減少疼痛。,在低位胸椎可造成周邊血管收縮，藉以保暖。,E,SCS在低位胸椎會促進血管擴張而非收縮，這是因為SCS能激活交感神經系統的抑制性路徑，導致血管擴張，改善下肢的血液循環，這與保暖機制相反，因為保暖通常需要血管收縮以減少熱量散失。
介入性治療,30,114年第19題,關於 spinal cord stimulation(SCS)，何者有誤？,除了 traditional tonic stimulation 外，還有 burst 或 high frequency 等較新的 waveform,Postlaminectomy pain syndrome 是常見的 SCS indication,"Visceral pain (例如 interstitial cystitis, chronic pancreatitis, chronic pelvic pain 等)依照目前臨床實證，並不建議使用 SCS 治療",Postlaminectomy pain syndrome 的病人中，經過越多次脊椎手術的病人，預後越差,Trial lead implantation 一般建議的時間約為一週,C,目前臨床實證顯示SCS對某些內臟疼痛（如間質性膀胱炎、慢性胰臟炎、慢性骨盆疼痛）是有效的，這是因為SCS能調節中樞神經系統的疼痛處理機制，減少內臟疼痛的感知，因此並非不建議使用。
介入性治療,31,114年第24題,Which of the statement about Epidural Steroid Injections(ESIs) is wrong?,"Adverse events with caudal ESIs are uncommon but do occur, including transient central steroid effects (flushing, nonpositional headache, insomnia), transient blindness, retinal necrosis, chemical meningitis, arachnoiditis, epidural hematoma, and epidural abscess.","Adverse events with interlaminar ESIs may be segregated into major (neurologic injury, intraspinal hemorrhage, spinal infections, chemical meningitis, paraplegia, and transient blindness) and minor events (vasovagal syncope, dural puncture, acute systemic steroid effects, contrast reactions).","According to the evidence, there are still some neurologic events, intraspinal hematomas, or infections if transforaminal ESIs are performed using Spine Intervention Society procedural guidelines","Adverse events with transforaminal ESIs are vasovagal reactions, central steroid effects, and transient increased pain.","For transforaminal ESIs, nonparticulate steroid dexamethasone are safer because intra-arterial injection of particulate steroids may cause spinal cord infarction. Dexamethasone, however, is known to precipitate into particles if mixed with ropivacaine.",C,此選項錯誤。根據現有證據，當嚴格遵循Spine Intervention Society的操作指引進行經椎間孔ESIs時，嚴重的神經學事件、椎管內血腫或感染應該是極為罕見的。這些指引包括適當的影像導引、無菌技術、正確的解剖定位、即時造影劑確認血管內位置等關鍵步驟。遵循標準化操作程序是確保患者安全、降低嚴重併發症發生率的重要保障，因此此敘述與實際情況不符。
介入性治療,32,114年第25題,Which of the statement about Intrathecal(IT) Opioid Treatment is wrong?,"Because of the small volume of distribution of morphine in the CSF, a dose of IT morphine yields significantly higher CSF concentration than that which occurs when given epidurally where significant vascular absorption occurs.","IT hydromorphone is approximately 5 to 6 times more potent than IT morphine and is somewhat more lipophilic, which is associated with more side effects than IT morphine.","Opioid-induced hyperalgesia often appears in those receiving long-term IT therapy with opioids. This is manifest as hyperalgesia, an exaggerated pain response to a stimuli that would normally be considered mildly noxious, like a pinprick and allodynia, pain that is produced by a normally nonnoxious stimulus, like light touch.","Common diagnosis treated with intrathecal therapy includes axial neck or back pain (not a surgical candidate), failed back surgery syndrome, abdominal/pelvic pain, extremity pain, complex regional pain syndrome (CRPS), trunk pain, cancer pain (direct invasion or chemotherapy related).","For implantation of an Intrathecal drug delivery systems (IDDSs), needle entry should be caudal to L1 vertebral level, ideally at L2–L3 or L3–L4, because the spinal cord terminates at the T12 or L1.",B,鞘內hydromorphone雖然效價較高且親脂性較強，但副作用不一定比morphine多。親脂性高的藥物通常能更快速地穿透細胞膜，導致較快的起效時間，但這不一定意味著副作用會增加。實際上，親脂性高的藥物可能在中樞神經系統中分布更廣，從而減少局部高濃度引起的副作用。
介入性治療,33,114年第34題,Which of the statement about thermal radiofrequency (RF) is right?,"The objective of RF lesioning is to deliver sufficient heating power into biologic tissue such that the tissue temperature is raised above the ""lethal temperature"" range of 45° to 50° C.","Because the tissue temperature drops slowly with distance from the electrode, the lesion is not too limited in size beyond the surface of the electrode","Once the electrode surface temperature reaches 80° C, lesion size increases with time as the temperature is maintained. Most of the increase in size occurs within 20 seconds, but an appreciable growth continues between 20 and 60 seconds.","If an electrode is placed parallel to a nerve, it incorporates a small volume of the nerve along a lesser length.",RF medial branch neurotomy is an ideal treatment for nonspecific spinal pain. It is applicable more than pain only mediated by one or more medial branches of the dorsal rami.,A,射頻病灶形成的目標是將組織溫度提高到45-50°C以上的致死溫度範圍，這樣可以有效破壞疼痛傳導的神經纖維。這種溫度範圍足以引起蛋白質變性和細胞壞死，從而達到長期緩解疼痛的效果。
基礎疼痛機制,1,"102年第26題, 104年第3題",有關 hyperalgesia 的描述何者為非？,組織受傷會導致許多促進發炎反應的化學物質的釋放，包括 bradykinin，prostaglandins，leukotrienes，serotonin，histamine，substance P，thromboxanes，platelet-activating factor，adenosine，ATP， protons 以及 free radicals 等等,Hyperalgesia 不僅發生在受傷的區域，也會發生在周圍未受傷的區域,在周圍未受傷害的區域產生的 hyperalgesia 稱之為 primary hyperalgesia,在發炎反應的時候，macrophages 會釋放 cytokines 來調節發炎反應,促進發炎反應之因子，如 cytokine 會促進神經生長因子之產生，再直接或間接地加強疼痛現象,C,**錯誤** - Primary hyperalgesia 發生在受傷部位，secondary hyperalgesia 才發生在周圍未受傷區域，這是由於中樞神經系統的變化。
基礎疼痛機制,2,"103年第11題, 106年第1次第30題, 107年第1次第18題, 107年第3次第18題, 108年第1次第43題, 108年第2次第43題, 109年第1次第1題, 109年第1次第11題, 109年第2次第1題, 109年第2次第11題, 111年第3題, 112年第24題, 113年第16題, 114年第13題",The innervation of deep somatic tissue like muscle and joint is quite complex. Which of the following description is not appropriate?,"The nociceptors are predominantly activated by non-physiological stimuli which may cause damage to the structures (e.g. overload, twisting, strong pressure, ischemic contraction).","During inflammation or after trauma, nociceptors of joint and muscle show pronounced sensitization, in particular for mechanical stimuli.",Descending inhibition is enhanced during chronic inflammation but seems to be normalized during acute inflammation.,Both primary afferent fibers as well as sympathetic reflexes may aggravate inflammatory lesions.,"Reduced release of hormones from the hypothalamic-pituitary-adrenal (HPA) axis such as cortisol, adrenal androgens and testosterone may cause a relative loss of anti-inflammatory activity.",C,**錯誤** - 在慢性發炎時，下行抑制通路的功能通常會被削弱，而不是增強，這可能導致疼痛的持續和加重。
基礎疼痛機制,3,103年第21題,Which of the following describing the phenomenon of Wind-Up is right?,a form of heterosynaptic activity-dependent plasticity,elicited by repeated A-B-fiber stimuli,a co-release with glutamate of neuromodulators such as substance P and calcitonin gene-related peptide (CGRP) from the nociceptor central terminals,NMDA receptor is not recruited,all of the above are right,A,**正確** - Wind-up 確實是異突觸活動依賴性可塑性，這意味著它涉及多個突觸之間的相互作用和調節。
基礎疼痛機制,4,"103年第22題, 104年第35題, 111年第44題, 113年第9題","During peripheral sensitization of nociceptors, which of the coupling is wrong?",prostaglandin E2 (PGE2) --- EP receptor,bradykinin --- B2 receptor,heat --- TRPV1 receptor,ATP --- P2Y receptor,all of the above are right,D,ATP與P2Y受體的配對是錯誤的。ATP在疼痛傳遞中主要是與P2X受體結合，特別是P2X3和P2X2/3受體。P2X受體是配體閘控的非選擇性陽離子通道，ATP結合後會快速開啟通道，允許Na+和Ca2+內流，直接去極化疼痛受器並產生動作電位。P2Y受體雖然也能與ATP結合，但主要參與血管舒張、血小板聚集等其他生理功能，而非直接的疼痛信號傳遞。
基礎疼痛機制,5,103年第23題,Spinothalamic tract is the pathway most closely associated with pain. Which region in the spinal grey matter is the main origin of the spinothalamic tract to transmit pain?,lamina I,lamina II,lamina VII,lamina VIII,lamina X,A,**正確** - Lamina I 是脊髓丘腦束傳導疼痛的主要起源，這一層的神經元對疼痛和溫度刺激特別敏感。
基礎疼痛機制,6,103年第26題,Nociceptive pain:,Occurs only in laboratory animals.,Occurs under conditions of normal peripheral and central nervous system function.,Typically responds poorly to opioid analgesics.,Typically responds poorly to NSAIDs.,Typically responds favorably to adjuvant analgesics.,B,**正確** - 傷害性疼痛是神經系統功能正常時的生理反應，通常由外部刺激或組織損傷引發。
基礎疼痛機制,7,103年第36題,"Which of the following statement concerning ""cytokines"" is least likely:","Cytokines mediate the communication from the immune system to the peripheral nervous system and CNS, and to endocrine systems","IL-1, IL-6 and TNF-α are pro-inflammatory cytokines",Intraperitoneal injection of IL-1 in rats generate hyperalgesia that can not be abolished by vagotomy,"Bradykinin activates macrophages that release TNF-α, which sensitizes nociceptors by the production of IL-6 and IL-1β","IL-6 and TNF-α, released intraneurally by macrophages, are involved in neuropathic pain",C,**錯誤** - IL-1 引起的痛覺過敏可以被迷走神經切斷術廢除，這顯示了迷走神經在疼痛調節中的重要性。
基礎疼痛機制,8,103年第50題,Descending inhibitory pathways typically involve which of the following neurochemical mechanisms EXCEPT?,Noradrenergic,Enkephalinergic,Serotonergic,Cholinergic,,D,下行抑制路徑主要涉及去甲腎上腺素能、腦啡肽能和血清素能神經化學機制。這些神經遞質系統從腦幹的核團（如藍斑核、中縫核等）下行至脊髓背角，調節疼痛訊號的傳遞。膽鹼能系統雖然在神經系統中很重要，但不是下行疼痛抑制路徑的主要機制。
基礎疼痛機制,9,104年第4題,"Which of the following statement concerning ""animal models of pain"" is least likely?","When applying Von Frey filaments for identifying mechanical hyperalgesia, one of the drawbacks is that different application speed may generate different forces.",The writhing test is frequently referred to as a somatic pain model.,The injection of capsaicin is thought to activate TRPV1-expression nociceptors.,"The injection of Freund's complete adjuvant (FCA, or CFA) is a model for inflammatory pain.",The chronic constriction injury (CCI) model is a partial nerve lesion model.,B,**錯誤** - Writhing test是內臟痛模型，不是體感性疼痛模型，因為它主要測試的是內臟刺激引起的疼痛反應。
基礎疼痛機制,10,104年第25題,Which statement of the followings is wrong?,Pain cannot be explained purely by a simple perception-action model.,Pain is unlikely be underpinned by a single unified motivation value system.,"Pain is likely to be underpinned by a number of distinct systems of action, including innate, habit-like, and goal-directed systems.",Understanding decision making is likely to be critical for understanding the complexity of intrinsic pain modulation pathways.,All the above are correct,E,**正確** - 前面所有陳述都是正確的，反映了疼痛的多維度性。
基礎疼痛機制,11,104年第32題,"Which of the following statement concerning autonomic- endocrine-immune interaction in pain"" is least likely?",Cytokines are involved in the sensitization of nociceptors during inflammation and may lead to hyperalgesia.,Proinflammatory cytokines are synthesized and released by macrophages and other immune-related cells.,IL-4 is categorized as an anti-inflammatory interleukin,"IL-1, IL-10 and TNF-α are categorized as proinflammatory cytokines.","TNF-α induces synthesis and release of IL-8, which activates sympathetic terminals that synthesize nociceptors via β2-adrenoceptors.",D,**錯誤** - IL-10是抗發炎細胞激素，不是促炎細胞激素，能夠減少發炎反應。
基礎疼痛機制,12,104年第34題,"Which of the following statement concerning ""spinal cord plasticity and pain"" is least likely?",A strong and/or sustained activation of nociceptive C fibers may induce the plasticity in spinal cord.,Neurotrophic factors BDNF and NGF are thought to be able to induce hyperalgesia on spinal application.,"In nociceptive pathways, long-term potentiation (LTP) may be triggered by enhanced synaptic activity.","LTP may be induced by electrical stimulation and nerve injury, but not hindpaw injection of formalin.","In nociceptive pathways, long-term potentiation (LTP) may be triggered by abrupt withdrawal from opioids.",D,**錯誤** - 後爪福馬林注射也可以誘導LTP，這表明持續性化學刺激能夠引發突觸可塑性。
基礎疼痛機制,13,105年第4題,Which one of the following statements is appropriate?,Na+ channel activation is involved in the initiation of action potential of neurons.,Ca2+ channel activation is responsible for the repolarization of cardiac excitable cells.,GABAA receptor is a voltage-gated Cl- channel.,The resting membrane potential of most excitable cells is around 70 mV.,,A,鈉離子通道的活化確實是神經元動作電位起始的關鍵機制。當膜電位去極化至閾值時，電壓依賴性鈉離子通道快速開放，大量鈉離子內流造成快速去極化，形成動作電位的上升相。這是神經元興奮性和訊號傳遞的基礎機制。
